Byrå ID,Orgnr,Skapad,aktiv/inaktiv,Användare,Namn,regdatum,Styrelseledamöter,Befattningshavare,Name (from Styrelseledamöter),Roll (from Styrelseledamöter),Orgnr (from Styrelseledamöter),Personnr (from Styrelseledamöter),Suppleanter,Address,telefon,mailaddress ,Verksamhetsbeskrivning,SNI kod,Beskrivning av kunden,Risk & compliance,Kunduppgifter,Telefonnr,e-post,Bolagsform,Ombud,Verklig huvudman,Skatterättslig hemvist,Frekvens,omfattning i h,Ytterligare beskrivning av kunden och verksamheten,Registreringsbevis,LINKED: Risker kopplad till tjänster,Kundens utvalda tjänster,Lookup Byråns högrisktjänster,Utvalda Högrisktjänster,KYC UTFÖRD DATUM,Riskbedömning utförd datum,sammanlagd risk,Motivering,risker kopplat till tjänster,Risksänkande åtgjärder,Kunden verkar i en högriskbransch,Riskhöjande faktorer tjänster,Riskhöjande faktorer övrigt,Risksänkande faktorer,Kommentar till riskfaktorerna ovan,Risker från KYC,Antal träffar PEP och sanktionslistor,Svar kvalitetsfrågor,Rapport PEP,Betalningar,PEP,Syfte med affärsförbindelsen,Tidshorisont affärsförbindelsen,Vilket ursprung har företagets kapital?,Har företaget transaktioner med andra länder?,Byrån har,Uppdraget kan antas,SNI-koder,Info fast pris,Avtalet gäller ifrån,Uppsägningstid,Uppdragsavtal,KYC dok,Momsuppdrag,Uppdrag,Uppdrag 2,Attachments,Uppdragstext,Kundens riskbedömning godkänd,Intelligence varning,Omsättning,firmateckning,Affärsmodell,registreringsland,Aktivt företag,Senaste årsredovisning,Fg årsredovisning,Ffg årsredovisning,Fg årsredovisning json,Ffg årsredovisning json,Senaste årsredovisning json,Senaste årsredovisning fil,Fg årsredovisning fil,Ffg årsredovisning fil,Högrisk SNI match,Riskklass
42,900201-3960 ,2025-8-15 14:21,,35,Slipp Redovinsing AB ,,,,,,,,,,,,,,Beskrivning av kunden,Risk & Compliance,Kundens uppgifter,070-2462921,Annika@rydenredovisning.se,AB,,Fredrik Grengby ,Annat land,,,,,,,,,,,,,,,,,,,,,0,,,,Inte PEP,Normala redovisningstjänster för företag,,,,,,01.131	Potatisodling,,,,,,,,,,"Signering av detta avtal innebär godkännande av följande underbilagor:

<br/>

1.  Allmänna villkor
    
1.  Personuppgiftsbiträdesavtal
    
    <br/>
    

Avtalet avser de tjänster som specificeras nedan,

uppdragstagaren åtar sig att utföra de tjänster som anges. Uppdragsavtalet kan fortlöpande utökas eller ändras till sin omfattning efter båda parters godkännande.

<br/>

För fullständiga villkor - se bilaga 2 Allmänna villkor. <br/>

De viktigaste punkterna är:<br/>

-   Löpande bokföring: Underlag skall lämnas senast 15 dagar efter periodens slut.
    
-   Löneadministration: Underlag för löneberäkning och attest skall lämnas minst 7 dagar före löneutbetalning.
    
-   Korrekt information: Uppdragsgivaren ansvarar för att alla upplysningar och anvisningar är korrekta och följer gällande lag.
    
-   Fullständiga uppgifter: Uppdragsgivaren ska tillhandahålla samtliga uppgifter som krävs för att uppdraget ska kunna utföras korrekt.
    
-   Ansvar för redovisningen: Som kund är du alltid juridiskt ansvarig för din redovisning. Tveka inte att ställa frågor vid oklarheter. Vi garanterar hög kvalitet på vårt arbete.",2025-7-30,,,,,,,,,,,,,,,,❌ Lågrisk,#ERROR!
41,5566778889,2025-8-15 14:21,,25,"Annika
 AB",,,,,,,,,,,,,,Beskrivning av kunden,Risk & Compliance,Kundens uppgifter,070-2462921,testera@fgfgh.se,AB,,Robin Rydén,Annat land,,,,,,,,,2025-06-06 17:50,,låg,,"AVSTÄMNING, Avstämning av balanskonton",efaergdth,,"Avskrivningnar,ROT/RUT hantering",Kontanthantering,Inga kopplingar till utlandet,,,0,,,Inga betalningar med kontanter/betalkort,Inte PEP,Normala redovisningstjänster för företag,Långsiktigt (mer än fem år),Tillskott från ägare,Ja,,,01.131	Potatisodling,,,,,file.pdf (https://v5.airtableusercontent.com/v3/u/44/44/1756310400000/fMyAMYbICvcg3N3OKnlCYg/lqtBh5KPPfWeKyGjrHZfjyUAtd8pzNZq3tduRCkiGY68wCahSvTKQGDN_5WtNePbNUP8UR5OrQJi8_mNjoh29GKaKumaXaKlMrqPzzpPFuCms9-osiIQM-Vex3hx7oQ5BTe0iPJe7sELTvKL--nKIOdU4Hc0hNKIru0nFLlcuQY/8XNiUOSpHnXrHLt77uIfPliMf2YhNNDN1NGraGZ8D6k),Månadsmoms (den 12e månaden efter perioden),,,,"Signering av detta avtal innebär godkännande av följande underbilagor:

1. Allmänna villkor
2. Personuppgiftsbiträdesavtal


Avtalet avser de tjänster som specificeras nedan, 
uppdragstagaren åtar sig att utföra de tjänster som anges. Uppdragsavtalet kan fortlöpande utökas eller ändras till sin omfattning efter båda parters godkännande.

För fullständiga villkor - se bilaga 2 Allmänna villkor. 
De viktigaste punkterna är:
- Löpande bokföring: Underlag skall lämnas senast 15 dagar efter periodens slut.
- Löneadministration: Underlag för löneberäkning och attest skall lämnas minst 7 dagar före löneutbetalning.
- Korrekt information: Uppdragsgivaren ansvarar för att alla upplysningar och anvisningar är korrekta och följer gällande lag.
- Fullständiga uppgifter: Uppdragsgivaren ska tillhandahålla samtliga uppgifter som krävs för att uppdraget ska kunna utföras korrekt.
- Ansvar för redovisningen: Som kund är du alltid juridiskt ansvarig för din redovisning. Tveka inte att ställa frågor vid oklarheter. Vi garanterar hög kvalitet på vårt arbete.
",,,,,,,,,,,,,,,,,❌ Lågrisk,#ERROR!
41,100312????,2025-8-15 14:21,,25,Lillys Blommor och Bullar AB,,,,,,,,,,,,,,Beskrivning av kunden,Risk & Compliance,Kundens uppgifter,070-2462921,testera@fgfgh.se,EF,,Lilly Rydén,Sverige,"Kvartalsvis,Månatligt",,"Ett litet Café i samma stad som jag bor. Säljer bakverk och blommor.
",,,,,,2025-06-06 18:20,2024-6-18,Normal,"Litet företag med enkel tydlig verksamhet

",Avstämning arbetsgivaravgift och personalskatt,Kontroll varje kvartal av tre kundfakturor,Restaurang,Avskrivningnar,Företaget har många kortvariga affärsrelationer,"Inga kopplingar till utlandet,""Enkel struktur, lätt att få överblick på transaktionerna"",Små transaktioner",Totalt sett inget som sticker ut,,0,5593483902_ByI9ajG3.pdf (https://v5.airtableusercontent.com/v3/u/44/44/1756310400000/OarLGy8qI-OziXATa1PgBg/SLGbTCBLj90pJGxg_Qb9pSKoiSeKK9ZtOEG9mjJCovsMM95W8ZVt4fJDBFCuB2tPmyFWH5PrkTgbYbN1LVX3qdkku3t2GBaam0rbpSGk0NyYgyNHLCYrSPbJ8c46Vwc386oorjLpm7-R7spL0FSJhzhiE5Od-2QhQ-jt3rLzbeQ/F6Q1Auv5kuIV3Y-ag-9_AuMt7rXvWY4guelW3spGMuw),,Inga betalningar med kontanter/betalkort,Inte PEP,Normala redovisningstjänster för företag,Långsiktigt (mer än fem år),Tillskott från ägare,Nej,"Kapacitet att ta emot kunden,Kunskap nog att hjälpa kunden,Kunden bedöms som seriös,Kundkännedom har uppnåtts",,,,2025-6-6,1 månad,,file.pdf (https://v5.airtableusercontent.com/v3/u/44/44/1756310400000/fMyAMYbICvcg3N3OKnlCYg/lqtBh5KPPfWeKyGjrHZfjyUAtd8pzNZq3tduRCkiGY68wCahSvTKQGDN_5WtNePbNUP8UR5OrQJi8_mNjoh29GKaKumaXaKlMrqPzzpPFuCms9-osiIQM-Vex3hx7oQ5BTe0iPJe7sELTvKL--nKIOdU4Hc0hNKIru0nFLlcuQY/8XNiUOSpHnXrHLt77uIfPliMf2YhNNDN1NGraGZ8D6k),,,,,"Signering av detta avtal innebär godkännande av följande underbilagor:

1. Allmänna villkor
2. Personuppgiftsbiträdesavtal


Avtalet avser de tjänster som specificeras nedan, 
uppdragstagaren åtar sig att utföra de tjänster som anges. Uppdragsavtalet kan fortlöpande utökas eller ändras till sin omfattning efter båda parters godkännande.

För fullständiga villkor - se bilaga 2 Allmänna villkor. 
De viktigaste punkterna är:
- Löpande bokföring: Underlag skall lämnas senast 15 dagar efter periodens slut.
- Löneadministration: Underlag för löneberäkning och attest skall lämnas minst 7 dagar före löneutbetalning.
- Korrekt information: Uppdragsgivaren ansvarar för att alla upplysningar och anvisningar är korrekta och följer gällande lag.
- Fullständiga uppgifter: Uppdragsgivaren ska tillhandahålla samtliga uppgifter som krävs för att uppdraget ska kunna utföras korrekt.
- Ansvar för redovisningen: Som kund är du alltid juridiskt ansvarig för din redovisning. Tveka inte att ställa frågor vid oklarheter. Vi garanterar hög kvalitet på vårt arbete.
",,,,,,,,,,,,,,,,,❌ Lågrisk,#ERROR!
41,"1003126361
",2025-8-15 14:21,,25,Lillys Blommor och Bullar AB,,,,,,,,,,,,,,Beskrivning av kunden,Risk & Compliance,Kundens uppgifter,070-2462921,testera@fgfgh.se,EF,,Lilly Rydén,Sverige,,,,,,,,,2025-06-06 18:20,2024-6-18,låg,fghukyilkutiluoöiyoö yhtjgmyuk fhntuuk fsynryjtyj,ROT/RUT,ghfdhjgjkyhjkhkl,Bilhandel,Anläggningsregister,"Bristfälliga bokföringsrutiner,Kontanthantering",Inga kopplingar till utlandet,fgfggf,,0,,,Inga betalningar med kontanter/betalkort,Inte PEP,Normala redovisningstjänster för företag,Långsiktigt (mer än fem år),Tillskott från ägare,Ja,,,01.131	Potatisodling,Fast pris gäller from bla bla bla,2025-6-6,1 månad,,file.pdf (https://v5.airtableusercontent.com/v3/u/44/44/1756310400000/fMyAMYbICvcg3N3OKnlCYg/lqtBh5KPPfWeKyGjrHZfjyUAtd8pzNZq3tduRCkiGY68wCahSvTKQGDN_5WtNePbNUP8UR5OrQJi8_mNjoh29GKaKumaXaKlMrqPzzpPFuCms9-osiIQM-Vex3hx7oQ5BTe0iPJe7sELTvKL--nKIOdU4Hc0hNKIru0nFLlcuQY/8XNiUOSpHnXrHLt77uIfPliMf2YhNNDN1NGraGZ8D6k),,,,,"Signering av detta avtal innebär godkännande av följande underbilagor:

1. Allmänna villkor
2. Personuppgiftsbiträdesavtal


Avtalet avser de tjänster som specificeras nedan, 
uppdragstagaren åtar sig att utföra de tjänster som anges. Uppdragsavtalet kan fortlöpande utökas eller ändras till sin omfattning efter båda parters godkännande.

För fullständiga villkor - se bilaga 2 Allmänna villkor. 
De viktigaste punkterna är:
- Löpande bokföring: Underlag skall lämnas senast 15 dagar efter periodens slut.
- Löneadministration: Underlag för löneberäkning och attest skall lämnas minst 7 dagar före löneutbetalning.
- Korrekt information: Uppdragsgivaren ansvarar för att alla upplysningar och anvisningar är korrekta och följer gällande lag.
- Fullständiga uppgifter: Uppdragsgivaren ska tillhandahålla samtliga uppgifter som krävs för att uppdraget ska kunna utföras korrekt.
- Ansvar för redovisningen: Som kund är du alltid juridiskt ansvarig för din redovisning. Tveka inte att ställa frågor vid oklarheter. Vi garanterar hög kvalitet på vårt arbete.
",,,,,,,,,,,,,,,,,❌ Lågrisk,#ERROR!
41,5566778889,2025-8-15 14:21,Inaktivera,25,Test AB,,,,,,,,,,,,,,Beskrivning av kunden,Risk & Compliance,Kundens uppgifter,070-2462921,test@rydenredovisning.se,AB,Annika Rydén,Test VH Rydén,Sverige,"""Behovsbaserat (t ex rådgivning, tillfälliga uppdrag)""",,,,,,,,2025-06-18 11:45,2024-6-17,låg,Inga konstigheter,,,---,ROT/RUT hantering,Företaget har många kunder på distans,,,,,,,Inga betalningar med kontanter/betalkort,Inte PEP,Normala redovisningstjänster för företag,Långsiktigt (mer än fem år),,Nej,"Kapacitet att ta emot kunden,Kundkännedom har uppnåtts,Kunden bedöms som seriös,Kunskap nog att hjälpa kunden",checked,,,2025-6-18,,,KYC_Test_VH_Ryd_n.pdf (https://v5.airtableusercontent.com/v3/u/44/44/1756310400000/rU-VgPwA9b08ji53Qo4JvQ/9bKDYULXm8ByVIM9hvuwsujU4a-rcCbdPmY2tvT2qYmw3V1lp-r9IVBTFS2GEsNwTAPvrwpqL8Wdapm02dtuvwknENLNtCkEnbxzPYK2Dl1O0pvkPAjBf98X9LJ6tOroD-ib6S25WwLubzKGcp0HiCh_IdFuDsy3AvYnuo4n_LU/1g1AWFyCXLtRM5Iz1n7ui5lYUfTU3hkwGibt2iI8Y1k),,,,,"Signering av detta avtal innebär godkännande av följande underbilagor:

1. Allmänna villkor
2. Personuppgiftsbiträdesavtal


Avtalet avser de tjänster som specificeras nedan, 
uppdragstagaren åtar sig att utföra de tjänster som anges. Uppdragsavtalet kan fortlöpande utökas eller ändras till sin omfattning efter båda parters godkännande.

För fullständiga villkor - se bilaga 2 Allmänna villkor. 
De viktigaste punkterna är:
- Löpande bokföring: Underlag skall lämnas senast 15 dagar efter periodens slut.
- Löneadministration: Underlag för löneberäkning och attest skall lämnas minst 7 dagar före löneutbetalning.
- Korrekt information: Uppdragsgivaren ansvarar för att alla upplysningar och anvisningar är korrekta och följer gällande lag.
- Fullständiga uppgifter: Uppdragsgivaren ska tillhandahålla samtliga uppgifter som krävs för att uppdraget ska kunna utföras korrekt.
- Ansvar för redovisningen: Som kund är du alltid juridiskt ansvarig för din redovisning. Tveka inte att ställa frågor vid oklarheter. Vi garanterar hög kvalitet på vårt arbete.
",,,,,,,,,,,,,,,,,❌ Lågrisk,#ERROR!
41,8405202709,2025-8-15 14:21,,25,Annika Rydén EF,,,,,,,,,,,,,,Beskrivning av kunden,Risk & Compliance,Kundens uppgifter,070-2462921,annika@rydenredovisning.se,EF,,Annika Rydén,Sverige,"""Endast vid bokslut/deklaration, en gång per år""",,,,,,,,2025-06-18 16:19,,,,,,,,,,,,,,,Inga betalningar med kontanter/betalkort,Inte PEP,Normala redovisningstjänster för företag,Kortsiktigt,,Nej,"Kapacitet att ta emot kunden,Kundkännedom har uppnåtts,Kunden bedöms som seriös,Kunskap nog att hjälpa kunden",checked,,,2025-6-18,,,,,,,,"Signering av detta avtal innebär godkännande av följande underbilagor:

1. Allmänna villkor
2. Personuppgiftsbiträdesavtal


Avtalet avser de tjänster som specificeras nedan, 
uppdragstagaren åtar sig att utföra de tjänster som anges. Uppdragsavtalet kan fortlöpande utökas eller ändras till sin omfattning efter båda parters godkännande.

För fullständiga villkor - se bilaga 2 Allmänna villkor. 
De viktigaste punkterna är:
- Löpande bokföring: Underlag skall lämnas senast 15 dagar efter periodens slut.
- Löneadministration: Underlag för löneberäkning och attest skall lämnas minst 7 dagar före löneutbetalning.
- Korrekt information: Uppdragsgivaren ansvarar för att alla upplysningar och anvisningar är korrekta och följer gällande lag.
- Fullständiga uppgifter: Uppdragsgivaren ska tillhandahålla samtliga uppgifter som krävs för att uppdraget ska kunna utföras korrekt.
- Ansvar för redovisningen: Som kund är du alltid juridiskt ansvarig för din redovisning. Tveka inte att ställa frågor vid oklarheter. Vi garanterar hög kvalitet på vårt arbete.
",,,,,,,,,,,,,,,,,❌ Lågrisk,#ERROR!
41,SE910529447501,2025-8-15 14:21,,25,SpecNote,,,,,,,,,,,,,,Beskrivning av kunden,Risk & Compliance,Kundens uppgifter,070-2462921,robin@specnote.se,EF,,Robin Rydén,Sverige,"""Endast vid bokslut/deklaration, en gång per år""",,Gör musik.,,,,,,2025-06-18 17:53,,,,,,,,,,,,,,,Inga betalningar med kontanter/betalkort,Inte PEP,Normala redovisningstjänster för företag,Långsiktigt (mer än fem år),,Nej,"Kapacitet att ta emot kunden,Kundkännedom har uppnåtts,Kunden bedöms som seriös,Kunskap nog att hjälpa kunden",checked,,,2025-6-18,,,KYC_Robin_Ryd_n.pdf (https://v5.airtableusercontent.com/v3/u/44/44/1756310400000/fFVFGf-UO0rRYt2iqzp7pQ/6R2HVh84eSaVceamyx1H3_AhzlTIoL47x36x6lL4-CEglGxa7CDSPxTZW5mhhMz-Yf1p0LGPUU97wN34nxZWtMSaP_K9Z9_c6vGuO4eiL0_Tglrt8pArIr1osg1eTBBcY6W9k4fJoTy8lpiNKYkbeWUmM-o3W42gEQqiNUGay24/x4SgZVa8XJr1fozwsT0ekMzHBxutlRlyoF9LxthV22M),,,,,"Signering av detta avtal innebär godkännande av följande underbilagor:

1. Allmänna villkor
2. Personuppgiftsbiträdesavtal


Avtalet avser de tjänster som specificeras nedan, 
uppdragstagaren åtar sig att utföra de tjänster som anges. Uppdragsavtalet kan fortlöpande utökas eller ändras till sin omfattning efter båda parters godkännande.

För fullständiga villkor - se bilaga 2 Allmänna villkor. 
De viktigaste punkterna är:
- Löpande bokföring: Underlag skall lämnas senast 15 dagar efter periodens slut.
- Löneadministration: Underlag för löneberäkning och attest skall lämnas minst 7 dagar före löneutbetalning.
- Korrekt information: Uppdragsgivaren ansvarar för att alla upplysningar och anvisningar är korrekta och följer gällande lag.
- Fullständiga uppgifter: Uppdragsgivaren ska tillhandahålla samtliga uppgifter som krävs för att uppdraget ska kunna utföras korrekt.
- Ansvar för redovisningen: Som kund är du alltid juridiskt ansvarig för din redovisning. Tveka inte att ställa frågor vid oklarheter. Vi garanterar hög kvalitet på vårt arbete.
",,,,,,,,,,,,,,,,,❌ Lågrisk,#ERROR!
41,5568983091,2025-8-15 14:21,,25,Ekonomiexperten i Sverige AB,,,,,,,,,,,,,,Beskrivning av kunden,Risk & Compliance,Kundens uppgifter,070-2462921,fredrik.grengby@slipp.se,AB,,Fredrik Grengby,Sverige,,,..klköl,,,,,,2025-06-19 11:35,2025-6-19,Normal,ewrweewr,,,Restaurang,Lönehantering,"Bristfälliga bokföringsrutiner,Företaget har många kunder på distans,""Mkt ändringar i styrelse, adress eller firmateckning"",Otydlig affärsmodell",Små transaktioner,okiun,,,,,Inga betalningar med kontanter/betalkort,Inte PEP,Normala redovisningstjänster för företag,Kortsiktigt,,Nej,"Kapacitet att ta emot kunden,Kundkännedom har uppnåtts,Kunden bedöms som seriös,Kunskap nog att hjälpa kunden",checked,,,2025-6-19,,,,,,,,"Signering av detta avtal innebär godkännande av följande underbilagor:

1. Allmänna villkor
2. Personuppgiftsbiträdesavtal


Avtalet avser de tjänster som specificeras nedan, 
uppdragstagaren åtar sig att utföra de tjänster som anges. Uppdragsavtalet kan fortlöpande utökas eller ändras till sin omfattning efter båda parters godkännande.

För fullständiga villkor - se bilaga 2 Allmänna villkor. 
De viktigaste punkterna är:
- Löpande bokföring: Underlag skall lämnas senast 15 dagar efter periodens slut.
- Löneadministration: Underlag för löneberäkning och attest skall lämnas minst 7 dagar före löneutbetalning.
- Korrekt information: Uppdragsgivaren ansvarar för att alla upplysningar och anvisningar är korrekta och följer gällande lag.
- Fullständiga uppgifter: Uppdragsgivaren ska tillhandahålla samtliga uppgifter som krävs för att uppdraget ska kunna utföras korrekt.
- Ansvar för redovisningen: Som kund är du alltid juridiskt ansvarig för din redovisning. Tveka inte att ställa frågor vid oklarheter. Vi garanterar hög kvalitet på vårt arbete.
",,,,,,,,,,,,,,,,,❌ Lågrisk,#ERROR!
41,5566778889,2025-8-15 14:21,,25,Thomas betong AB,,,,,,,,,,,,,,Beskrivning av kunden,Risk & Compliance,Kundens uppgifter,070-2462921,annika@rydenredovisning.se,AB,,Thomas Karlsson,Sverige,"""Endast vid bokslut/deklaration, en gång per år""",,Gör betong-grejer. fdgkdjgdfkgbj sgjkdng rgjdgnd gdfgjdn,,,,,,2025-06-19 14:58,2025-6-19,Normal,"m,mjjjo",,,Bilhandel,ROT/RUT hantering,"Bristfälliga bokföringsrutiner,Transaktioner utan tydligt syfte","""Enkel struktur, lätt att få överblick på transaktionerna""",kjiuijjk,,,,,Inga betalningar med kontanter/betalkort,Inte PEP,Normala redovisningstjänster för företag,Långsiktigt (mer än fem år),,Nej,"Kapacitet att ta emot kunden,Kundkännedom har uppnåtts,Kunden bedöms som seriös,Kunskap nog att hjälpa kunden",checked,,,2025-6-19,,,,Månadsmoms (den 12e månaden efter perioden),,,,"Signering av detta avtal innebär godkännande av följande underbilagor:

1. Allmänna villkor
2. Personuppgiftsbiträdesavtal


Avtalet avser de tjänster som specificeras nedan, 
uppdragstagaren åtar sig att utföra de tjänster som anges. Uppdragsavtalet kan fortlöpande utökas eller ändras till sin omfattning efter båda parters godkännande.

För fullständiga villkor - se bilaga 2 Allmänna villkor. 
De viktigaste punkterna är:
- Löpande bokföring: Underlag skall lämnas senast 15 dagar efter periodens slut.
- Löneadministration: Underlag för löneberäkning och attest skall lämnas minst 7 dagar före löneutbetalning.
- Korrekt information: Uppdragsgivaren ansvarar för att alla upplysningar och anvisningar är korrekta och följer gällande lag.
- Fullständiga uppgifter: Uppdragsgivaren ska tillhandahålla samtliga uppgifter som krävs för att uppdraget ska kunna utföras korrekt.
- Ansvar för redovisningen: Som kund är du alltid juridiskt ansvarig för din redovisning. Tveka inte att ställa frågor vid oklarheter. Vi garanterar hög kvalitet på vårt arbete.
",,,,,,,,,,,,,,,,,❌ Lågrisk,#ERROR!
41,"55555
",2025-8-18 14:51,,25,Annika,,,,,,,,,,,,,,Beskrivning av kunden,Risk & Compliance,Kundens uppgifter,070-2462921,annika@rydenredovisning.se,AB,,Thomas Karlsson,Sverige,,-11,555,,"MOMS,Hantering av anläggningsregister och avskrivningar,Deklaration,AVSTÄMNING,Rådgivning,Löpande bokföring,Bajs","AVSTÄMNING,Löpande bokföring,lönehantering,Leverantörsreskontra","MOMS, Hantering av anläggningsregister och avskrivningar",,2025-07-14 14:41,,,,,,,,,,,,,,,Betalkort,Verklig huvudman/ombud är PEP,Normala redovisningstjänster för företag,Kortsiktigt,,Ja,"Kapacitet att ta emot kunden,Kundkännedom har uppnåtts,Kunden bedöms som seriös,Kunskap nog att hjälpa kunden",checked,,,2025-7-14,,,KYC_Thomas_Karlsson.pdf (https://v5.airtableusercontent.com/v3/u/44/44/1756310400000/eIUOylNsACeTZ6G3dBOUvA/_mDm_PpnOcBr-zp3jT72D5d8kbAGusCS7kXtiFft7lDpXSoL8gut82ZwV5eFFqcOX8eq0-MNwNCLJXvRuP9Oq6TKsUDXkk0JZiYrS8k0vx7B9ZxQCiS8n8jEFJEN_LyH9LRQFvUSDzyUtHEaelRh9kfC0QNCk4p07vGBLmXVRss4lcDk0PkLerh1fs6R6FYd/ooCRKL3jMx4gvQzTVD6ZxiP_arwrA50BpKBPdUdMmlo),,,,Deklaration_468815089.pdf (https://v5.airtableusercontent.com/v3/u/44/44/1756310400000/3_nfXLx1alaM0Q6dSQQr6w/vzIiVLqB3_Z7fRxtZT16R8PDdpuhEfRcSq5XLyqMbAFAt-MvDOnR0T0JSI8gapEWoX4xAfoch9_wTejUTTD-SgaiTj94SfOp_HQWrKJrmh0XAMabMbcn7EcXUEf7_TnIFnieqPmreCkPInt36ZihHT-0Q4gThZioRTKuLzftax4/1ea8lCqMr181xbHQkT2272A-4LPufKZKRczXobOTo40),"Signering av detta avtal innebär godkännande av följande underbilagor:

1. Allmänna villkor
2. Personuppgiftsbiträdesavtal


Avtalet avser de tjänster som specificeras nedan, 
uppdragstagaren åtar sig att utföra de tjänster som anges. Uppdragsavtalet kan fortlöpande utökas eller ändras till sin omfattning efter båda parters godkännande.

För fullständiga villkor - se bilaga 2 Allmänna villkor. 
De viktigaste punkterna är:
- Löpande bokföring: Underlag skall lämnas senast 15 dagar efter periodens slut.
- Löneadministration: Underlag för löneberäkning och attest skall lämnas minst 7 dagar före löneutbetalning.
- Korrekt information: Uppdragsgivaren ansvarar för att alla upplysningar och anvisningar är korrekta och följer gällande lag.
- Fullständiga uppgifter: Uppdragsgivaren ska tillhandahålla samtliga uppgifter som krävs för att uppdraget ska kunna utföras korrekt.
- Ansvar för redovisningen: Som kund är du alltid juridiskt ansvarig för din redovisning. Tveka inte att ställa frågor vid oklarheter. Vi garanterar hög kvalitet på vårt arbete.
",,,,,,,,,,,,,,,,,❌ Lågrisk,#ERROR!
